id,"bike_brand_and_model","strava_bike_id","strava_bike_name",strava_user_id,chain_used_miles,"new_chain_date",new_chain_mile_marker,cassette_used_miles,"new_cassette_date",new_cassette_mile_marker,front_fork_used_miles,front_fork_mile_marker,"front_fork_service_date",rear_shock_used_miles,rear_shock_mile_marker,"rear_shock_service_date",chain_ring_used_miles,new_chain_ring_mile_marker,"new_chain_ring_date",bottom_bracket_used_miles,"new_bottom_bracket_date",new_bottom_bracket_mile_marker,sealant_used_hours,"sealant_refresh_date",brake_bleed_used_miles,"brake_bleed_date",brake_bleed_mile_marker,brake_pads_used_miles,"new_brake_pads_date",new_brake_pads_mile_marker,brake_rotors_used_miles,"new_brake_rotors_date",new_brake_rotors_mile_marker,tires_used_miles,"new_tires_date",new_tires_mile_marker,total_miles,dropper_used_miles,"dropper_service_date",dropper_mile_marker,sealant_hour_marker,AXS_hour_marker,AXS_show,"AXS_recharge_date",AXS_used_hours,front_fork_PSI,front_fork_REB_click,"front_fork_REB_dir",front_fork_SAG,rear_shock_PSI,rear_shock_REB_click,"rear_shock_REB_dir",rear_shock_SAG,rear_suspension_show,front_fork_show,dropper_show,sealant_show,brake_pads_show,brake_bleed_show,brake_rotors_show,"bike_type"
353,"Trek Fuel Ex","b16589690","Carby",141005730,416,NULL,0,416,NULL,0,416,0,NULL,416,0,NULL,416,0,NULL,416,NULL,0,1035,"2026-03-08",0,NULL,0,416,NULL,0,0,NULL,0,416,NULL,0,416,416,NULL,0,492503,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
354,"Scott Spark","b14801830","Red one",141005730,0,NULL,867,0,NULL,867,0,867,NULL,0,867,NULL,0,867,NULL,0,NULL,867,376,NULL,0,NULL,867,0,NULL,867,0,NULL,867,0,NULL,867,867,867,NULL,0,487394,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
355,"YT Decoy","b15698192","Lord Vader",136246506,9,"2026-04-23",1074,9,"2026-04-23",1074,72,1011,"2026-03-05",9,1074,"2026-04-23",1111,-28,NULL,1111,NULL,-28,0,NULL,72,"2026-03-05",1011,72,"2026-03-05",1011,1111,NULL,-28,72,"2026-03-21",1011,1083,0,NULL,-28,487395,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,0,0,1,1,1,"Ebike"
356,"Marin Alcatraz 2","b15697709","Lolita",136246506,5,NULL,15,5,NULL,15,5,15,NULL,5,15,NULL,5,15,NULL,5,NULL,15,3716,NULL,0,NULL,15,5,NULL,15,0,NULL,15,5,NULL,15,20,20,NULL,0,487395,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,1,0,0,1,0,0,"DJ/Pumper"
357,"YT Capra","b16007612","Cappy",136246506,126,NULL,26,108,NULL,44,98,54,"2025-11-07",126,26,NULL,598,-446,NULL,598,NULL,-446,1079,"2026-03-05",98,"2025-11-07",54,198,NULL,-46,598,NULL,-446,198,NULL,-46,152,118,NULL,34,492431,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Sexy Enduro"
358,"Santa Cruz Hightower","b7532903","Sriracha",740103,389,NULL,4640,389,NULL,4640,389,4640,NULL,389,4640,NULL,389,4640,NULL,389,NULL,4640,6246,NULL,0,NULL,4640,389,NULL,4640,0,NULL,4640,389,NULL,4640,5029,5029,NULL,0,487434,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
360,"Canyon Spectral ON","b15712906","Trixie",143775090,926,NULL,0,926,NULL,0,926,0,NULL,926,0,NULL,926,0,NULL,926,NULL,0,6185,NULL,926,NULL,0,926,NULL,0,926,NULL,0,926,NULL,0,926,926,NULL,0,487491,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Ebike"
361,"Kona Shonky","b16207197","Cleo",143775090,6,NULL,0,6,NULL,0,6,0,NULL,6,0,NULL,6,0,NULL,6,NULL,0,2108,NULL,6,NULL,0,6,NULL,0,6,NULL,0,6,NULL,0,6,6,NULL,0,487491,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,0,0,0,0,0,0,"Dirt Jumper"
362,"Niner WFO 9 RDO","b16463795","Gertie ",143775090,72,NULL,0,72,NULL,0,72,0,NULL,72,0,NULL,72,0,NULL,72,NULL,0,5009,NULL,72,NULL,0,72,NULL,0,72,NULL,0,72,NULL,0,72,72,NULL,0,487491,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
363,"S-works Epic World Cup","b16618122","sassy",159330169,0,NULL,0,0,NULL,0,0,0,NULL,0,0,NULL,0,0,NULL,0,NULL,0,1582,NULL,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,0,NULL,0,487491,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
365,"Specialized Stumpjumper","b16324803","Red",32607938,43,NULL,0,43,NULL,0,43,0,NULL,43,0,NULL,43,0,NULL,43,NULL,0,3118,NULL,0,NULL,0,43,NULL,0,0,NULL,0,43,NULL,0,43,43,NULL,0,487851,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
442,"Specialized Stumpjumper","b15270283","Stump humper ",45639457,8,NULL,197,8,NULL,197,8,197,NULL,8,197,NULL,8,197,NULL,8,NULL,197,1397,NULL,0,NULL,197,8,NULL,197,0,NULL,197,8,NULL,197,205,205,NULL,0,488466,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
447,"Specialized Diverge","b16991334","Road bike",152416172,1940,NULL,0,1940,NULL,0,1940,0,NULL,1940,0,NULL,1940,0,NULL,1940,NULL,0,4598,NULL,1940,NULL,0,1940,NULL,0,1940,NULL,0,1940,NULL,0,1940,1940,NULL,0,489147,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Bike"
448,"Julianna Wilder","b16991333","Mountain Bike",152416172,0,NULL,0,0,NULL,0,0,0,NULL,0,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,0,NULL,0,489147,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Bike"
504,"Cervelo S5","b16841624","Cervelo",40573190,300,NULL,0,300,NULL,0,300,0,NULL,300,0,NULL,300,0,NULL,300,NULL,0,3502,NULL,300,NULL,0,300,NULL,0,300,NULL,0,300,NULL,0,300,300,NULL,0,489813,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Bike"
506,"Sun Bicycles FlatTop","b16578682","Unicycle",62423760,4,NULL,0,4,NULL,0,4,0,NULL,4,0,NULL,4,0,NULL,4,NULL,0,-1,NULL,4,NULL,0,4,NULL,0,4,NULL,0,4,NULL,0,4,4,NULL,0,490630,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Bike"
507,"Trek Supercaliber","b17252000","Cal",198743861,1622,NULL,-1602,1622,NULL,-1602,1622,-1602,NULL,1622,-1602,NULL,1622,-1602,NULL,1622,NULL,-1602,955,NULL,1622,NULL,-1602,1622,NULL,-1602,1622,NULL,-1602,1622,NULL,-1602,20,1622,NULL,-1602,490853,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
508,"hybrid trainer Schwinn","b17284518","Trainer Bike",33604137,0,NULL,0,0,NULL,0,0,0,NULL,0,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,0,NULL,0,491019,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,0,0,0,0,0,0,"Trainer hybrid"
509,"Scott Spark 320 plus","b17284513","Yellow Scott",33604137,0,NULL,0,0,NULL,0,0,0,NULL,0,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,0,NULL,0,491019,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
510,"Trek Fuel Ex","b17284504","Trek Blue",33604137,0,NULL,0,0,NULL,0,0,0,NULL,0,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,0,NULL,0,491019,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
511,"Giant Anthem","b16973782","Full Fox ",66803854,0,NULL,0,0,NULL,0,0,0,NULL,0,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,0,NULL,0,491034,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
512,"Kelson Coolest Gravel Bike","b16561794","Black Jack ",90827331,15,NULL,0,15,NULL,0,15,0,NULL,15,0,NULL,15,0,NULL,15,NULL,0,0,NULL,15,NULL,0,15,NULL,0,15,NULL,0,15,NULL,0,15,15,NULL,0,491046,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,0,0,0,1,1,1,"Gravel"
513,"Felt Superlight","b12917957","Felt",90827331,1195,NULL,0,1195,NULL,0,1195,0,NULL,1195,0,NULL,1195,0,NULL,1195,NULL,0,0,NULL,1195,NULL,0,1195,NULL,0,1195,NULL,0,1195,NULL,0,1195,1195,NULL,0,491046,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,0,0,0,1,0,0,"Road"
514,"Cannondale Synapse","b14691794","Cobalt ",90827331,1737,NULL,0,1737,NULL,0,0,0,NULL,0,0,NULL,1737,0,NULL,1737,NULL,0,0,NULL,0,NULL,0,1737,NULL,0,0,NULL,0,1737,NULL,0,1737,0,NULL,0,491046,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,0,0,0,1,0,0,"Road"
515,"Trek Marlin 8 Gen 3","b12609519","Onyx",90827331,108,NULL,0,108,NULL,0,108,0,NULL,108,0,NULL,108,0,NULL,108,NULL,0,1915,NULL,108,NULL,0,108,NULL,0,108,NULL,0,108,NULL,0,108,108,NULL,0,491046,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
516,"specialized …","b16214944","The Flash",90827331,1883,NULL,0,1883,NULL,0,0,0,NULL,0,0,NULL,1883,0,NULL,1883,NULL,0,0,NULL,0,NULL,0,0,NULL,0,0,NULL,0,1883,NULL,0,1883,0,NULL,0,491046,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,0,0,0,0,0,0,""
533,"Specialized epic","b16795705","Dummy",71558228,139,NULL,0,139,NULL,0,0,139,"2026-03-12",139,0,NULL,139,0,NULL,139,NULL,0,0,NULL,139,NULL,0,139,NULL,0,139,NULL,0,139,NULL,0,139,139,NULL,0,491095,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
534,"Specialized Levo","b17061172","Eeeee",71558228,0,"2026-03-12",95,95,NULL,0,0,95,"2026-03-11",95,0,NULL,95,0,NULL,0,"2026-03-12",95,0,"2026-03-12",95,NULL,0,95,NULL,0,95,NULL,0,95,NULL,0,95,95,NULL,0,492578,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Ebike"
535,"Intense Sniper T","b17324716","Intense ",143775090,12,NULL,0,12,NULL,0,12,0,NULL,12,0,NULL,12,0,NULL,12,NULL,0,694,NULL,12,NULL,0,12,NULL,0,12,NULL,0,12,NULL,0,12,12,NULL,0,491806,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
536,"Cannondale Jekyll","b17285019","Mr. Hyde",193605405,300,NULL,-300,300,NULL,-300,300,-300,NULL,300,-300,NULL,300,-300,NULL,300,NULL,-300,0,NULL,300,NULL,-300,300,NULL,-300,300,NULL,-300,300,NULL,-300,0,300,NULL,-300,491817,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
537,"Scott Scale","b17285037","Scales ",193605405,202,NULL,-180,202,NULL,-180,202,-180,NULL,0,-180,NULL,202,-180,NULL,202,NULL,-180,1673,NULL,202,NULL,-180,202,NULL,-180,202,NULL,-180,202,NULL,-180,22,202,NULL,-180,491817,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,1,1,1,1,1,1,"Mountain"
538,"Canyon Lux Trail CF 7","b17324703","Canyon ",157585618,8,NULL,0,8,NULL,0,8,0,NULL,8,0,NULL,8,0,NULL,8,NULL,0,0,NULL,8,NULL,0,8,NULL,0,8,NULL,0,8,NULL,0,8,8,NULL,0,492502,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
539,"YT Decoy MX Core 2","b15740891","Deviljho ",157585618,15,NULL,0,15,NULL,0,15,0,NULL,15,0,NULL,15,0,NULL,15,NULL,0,0,NULL,15,NULL,0,15,NULL,0,15,NULL,0,15,NULL,0,15,15,NULL,0,492502,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Ebike"
540,"Kona Process 153","b15740875","Kona-19",157585618,86,NULL,0,86,NULL,0,86,0,NULL,86,0,NULL,86,0,NULL,86,NULL,0,0,NULL,86,NULL,0,86,NULL,0,86,NULL,0,86,NULL,0,86,86,NULL,0,492502,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
541,"Yeti SB5.5","b5784623","Yeti",2997986,2000,NULL,-721,2000,NULL,-721,2000,-721,NULL,2000,-721,NULL,2000,-721,NULL,2000,NULL,-721,0,NULL,2000,NULL,-721,2000,NULL,-721,2000,NULL,-721,2000,NULL,-721,1279,2000,NULL,-721,493434,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
