id,"bike_brand_and_model","strava_bike_id","strava_bike_name",strava_user_id,chain_used_miles,"new_chain_date",new_chain_mile_marker,cassette_used_miles,"new_cassette_date",new_cassette_mile_marker,front_fork_used_miles,front_fork_mile_marker,"front_fork_service_date",rear_shock_used_miles,rear_shock_mile_marker,"rear_shock_service_date",chain_ring_used_miles,new_chain_ring_mile_marker,"new_chain_ring_date",bottom_bracket_used_miles,"new_bottom_bracket_date",new_bottom_bracket_mile_marker,sealant_used_hours,"sealant_refresh_date",brake_bleed_used_miles,"brake_bleed_date",brake_bleed_mile_marker,brake_pads_used_miles,"new_brake_pads_date",new_brake_pads_mile_marker,brake_rotors_used_miles,"new_brake_rotors_date",new_brake_rotors_mile_marker,tires_used_miles,"new_tires_date",new_tires_mile_marker,total_miles,dropper_used_miles,"dropper_service_date",dropper_mile_marker,sealant_hour_marker,AXS_hour_marker,AXS_show,"AXS_recharge_date",AXS_used_hours,front_fork_PSI,front_fork_REB_click,"front_fork_REB_dir",front_fork_SAG,rear_shock_PSI,rear_shock_REB_click,"rear_shock_REB_dir",rear_shock_SAG,rear_suspension_show,front_fork_show,dropper_show,sealant_show,brake_pads_show,brake_bleed_show,brake_rotors_show,"bike_type"
322,NULL,"b13116942","Turbo Levo",23159976,0,NULL,141,0,NULL,141,0,141,NULL,0,141,NULL,0,141,NULL,0,NULL,141,0,NULL,0,NULL,141,0,NULL,141,0,NULL,141,0,NULL,141,141,0,NULL,0,483330,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
323,NULL,"b8918764","Sniper",23159976,3,NULL,381,3,NULL,381,3,381,NULL,3,381,NULL,3,381,NULL,3,NULL,381,1275,NULL,3,NULL,381,3,NULL,381,3,NULL,381,3,NULL,381,384,384,NULL,0,483330,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
333,"Specialized Stump Jumper","b16333634","Stumpy",32790300,201,"2025-09-23",-162,201,"2025-09-23",-162,201,-162,"2025-09-23",201,-162,"2025-11-27",2412,-2373,"2025-09-23",201,"2025-09-23",-162,0,"2026-03-13",201,"2025-09-23",-162,812,"2025-09-23",-773,3212,"2025-09-23",-3173,201,"2025-09-23",-162,39,201,"2025-09-23",-162,492600,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"eBike"
334,"Scott Aspect","b15847672","Aspect",62423760,166,NULL,546,166,NULL,546,166,546,NULL,0,546,NULL,166,546,NULL,166,NULL,546,0,NULL,0,NULL,546,166,NULL,546,0,NULL,546,166,NULL,546,712,0,NULL,0,486926,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,1,0,0,1,NULL,NULL,"Bike"
335,"Trek Rail","b16464922","Rail",6177974,59,"2025-09-17",0,59,"2025-09-17",0,59,0,NULL,59,0,NULL,59,0,"2025-09-17",59,NULL,0,5783,NULL,0,NULL,0,59,NULL,0,0,NULL,0,59,NULL,0,59,59,NULL,0,486939,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
336,"Trek Superfly","b16464919","Superfly",6177974,358,NULL,0,358,NULL,0,358,0,NULL,358,0,NULL,358,0,NULL,358,NULL,0,6767,NULL,0,NULL,0,358,NULL,0,0,NULL,0,358,NULL,0,358,358,NULL,0,486939,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
341,"Van Dessel Arch 65","b16493195","Slippery Seal",182209,1500,NULL,0,1500,NULL,0,1500,0,NULL,1500,0,NULL,1500,0,NULL,1500,NULL,0,909,NULL,1500,NULL,0,1500,NULL,0,1500,NULL,0,1500,NULL,0,1500,1500,NULL,0,487138,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
342,"Specialized Diverge Como","b16518448","Diverge",18031738,75,NULL,0,75,NULL,0,75,0,NULL,75,0,NULL,75,0,NULL,75,NULL,0,2861,NULL,0,NULL,0,75,NULL,0,0,NULL,0,75,NULL,0,75,75,NULL,0,487141,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
343,"Ibis Ripmo","b16518377","Ripmo",18031738,235,NULL,0,235,NULL,0,235,0,NULL,235,0,NULL,235,0,NULL,235,NULL,0,6470,NULL,0,NULL,0,235,NULL,0,0,NULL,0,235,NULL,0,235,235,NULL,0,487141,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
344,"Transition Trans Am","b16518443","Trans Am",18031738,10,NULL,0,10,NULL,0,10,0,NULL,10,0,NULL,10,0,NULL,10,NULL,0,688,NULL,10,NULL,0,10,NULL,0,10,NULL,0,10,NULL,0,10,10,NULL,0,487141,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
