id,"part_type",used_miles,"date_replaced","model",strava_user_id,"strava_bike_id","broken_worn","bike_type"
101,"rear shock",1602,"2023-07-11","unknown",11177429,"b8604913",NULL,NULL
102,"chainring",1602,"2023-07-11","unknown",11177429,"b8604913",NULL,NULL
103,"tires",1602,"2023-07-11","unknown",11177429,"b8604913",NULL,NULL
104,"brake bleed",1548,"2023-07-11","N/A",11177429,"b8604913",NULL,NULL
105,"cassette",1473,"2023-07-11","\"XX1\"",11177429,"b8604913",NULL,NULL
106,"brake rotors",1602,"2023-07-11","N/A",11177429,"b8604913",NULL,NULL
107,"front fork",1314,"2023-08-04","unknown",21956011,"b11201100",NULL,NULL
108,"cassette",1314,"2023-08-08","\"\"",21956011,"b11201100",NULL,NULL
109,"sealant",3228,"2023-08-08","N/A",21956011,"b11201100",NULL,NULL
110,"brake pads",2952,"2023-08-22","unknown",892461,"b9172296",NULL,NULL
111,"sealant",6123,"2023-08-22","N/A",892461,"b9172296",NULL,NULL
112,"tires",3556,"2023-08-22","unknown",892461,"b9172296",NULL,NULL
113,"dropper",1243,"2023-08-22","unknown",892461,"b9172296",NULL,NULL
114,"front fork",1364,"2023-09-21","unknown",103883118,"b11340096",NULL,NULL
115,"chain",620,"2023-11-02","\"XX1\"",40573190,"b11623695",NULL,NULL
116,"sealant",2247,"2023-11-24","N/A",892461,"b9172296",NULL,NULL
117,"bottom bracket",6704,"2023-12-20","unknown",892461,"b9172296",NULL,NULL
118,"chain",6989,"2024-02-11","\"XX1\"",892461,"b9172296",NULL,NULL
119,"chainring",6989,"2024-02-11","unknown",892461,"b9172296",NULL,NULL
120,"rear shock",1909,"2024-02-11","unknown",892461,"b9172296",NULL,NULL
121,"front fork",1909,"2024-02-11","unknown",892461,"b9172296",NULL,NULL
122,"cassette",7145,"2024-03-15","\"XX1\"",892461,"b9172296",NULL,NULL
123,"brake pads",822,"2024-03-15","unknown",892461,"b9172296",NULL,NULL
124,"chain",156,"2024-03-15","\"XX1\"",892461,"b9172296",NULL,NULL
125,"brake bleed",363,"2024-03-27","N/A",182209,"b13825986",NULL,NULL
126,"chain",638,"2024-04-16","\"NX\"",182209,"b13825986",NULL,NULL
127,"sealant",1676,"2024-04-18","N/A",182209,"b13825986",NULL,NULL
128,"chain",988,"2024-05-23","\"NX\"",182209,"b13825986",NULL,NULL
129,"chain",1267,"2024-07-27","\"NX\"",182209,"b13825986",NULL,NULL
130,"cassette",2255,"2024-07-27","\"X01\"",182209,"b13825986",NULL,NULL
131,"rear shock",1913,"2024-09-28","unknown",892461,"b9172296",NULL,NULL
132,"tires",2579,"2024-09-28","unknown",892461,"b9172296",NULL,NULL
133,"sealant",18794,"2024-10-04","N/A",32790300,"b8998999",NULL,NULL
134,"sealant",7641,"2024-10-08","N/A",892461,"b9172296",NULL,NULL
135,"brake pads",1814,"2024-10-08","unknown",892461,"b9172296",NULL,NULL
142,"chain",1041,"2024-11-08","\"NX\"",182209,"b13825986",NULL,NULL
143,"chainring",3296,"2024-11-08","unknown",182209,"b13825986",NULL,NULL
144,"sealant",4830,"2024-11-08","N/A",182209,"b13825986",NULL,NULL
145,"rear shock",903,"2024-11-11","unknown",32790300,"b8722228",NULL,NULL
146,"sealant",22929,"2024-11-11","N/A",32790300,"b8722228",NULL,NULL
148,"dropper",949,"2024-11-12","unknown",32790300,"b8722228",NULL,NULL
149,"brake pads",3296,"2024-11-17","unknown",182209,"b13825986",NULL,NULL
166,"brake pads",257,"2025-03-13","unknown",892461,"b15194529",NULL,NULL
167,"sealant",2204,"2025-03-22","N/A",32790300,"b8998999",NULL,NULL
168,"sealant",3070,"2025-03-22","N/A",32790300,"b8722228",NULL,NULL
169,"rear shock",555,"2025-03-26","unknown",100477881,"b10575939",NULL,NULL
170,"dropper",555,"2025-03-26","unknown",100477881,"b10575939",NULL,NULL
171,"bottom bracket",575,"2025-03-27","unknown",100477881,"b10575939",NULL,NULL
172,"rear shock",20,"2025-03-27","unknown",100477881,"b10575939",NULL,NULL
173,"bottom bracket",2240,"2025-03-27","unknown",32790300,"b10482015",NULL,NULL
